Date,close,volume
2020-03-12 08:00:00,258.6,229683
2020-03-12 09:00:00,257.76,457488
2020-03-12 10:00:00,252.81,291881
2020-03-12 11:00:00,259.99,353484
2020-03-12 12:00:00,257.12,520699
2020-03-12 13:00:00,252.07,258979
2020-03-12 14:00:00,248.08,563153
2020-03-13 08:00:00,256.56,292632
2020-03-13 09:00:00,254.44,335677
2020-03-13 10:00:00,252.98,326720
2020-03-13 11:00:00,255.34,218084
2020-03-13 12:00:00,259.33,182785
2020-03-13 13:00:00,257.02,240101
2020-03-13 14:00:00,270.93,623451
2020-03-16 08:00:00,245.57,158611
2020-03-16 09:00:00,250.77,358565
2020-03-16 10:00:00,254.13,253203
2020-03-16 11:00:00,248.97,177035
2020-03-16 12:00:00,247.21,179162
2020-03-16 13:00:00,249.11,265068
2020-03-16 14:00:00,239.54,676711
2020-03-17 08:00:00,238.16,218840
2020-03-17 09:00:00,245.22,275389
2020-03-17 10:00:00,251.03,256966
2020-03-17 11:00:00,249.1,256459
2020-03-17 12:00:00,249.62,160148
2020-03-17 13:00:00,251.01,213775
2020-03-17 14:00:00,254.19,402533
2020-03-18 08:00:00,242.58,246310
2020-03-18 09:00:00,240.27,233479
2020-03-18 10:00:00,241.06,280093
2020-03-18 11:00:00,235.73,237196
2020-03-18 12:00:00,231.88,311952
2020-03-18 13:00:00,235.09,343253
2020-03-18 14:00:00,241.01,632792
2020-03-19 08:00:00,237.98,240379
2020-03-19 09:00:00,239.28,357360
2020-03-19 10:00:00,242.73,313556
2020-03-19 11:00:00,242.25,212276
2020-03-19 12:00:00,244.47,201002
2020-03-19 13:00:00,244.43,202772
2020-03-19 14:00:00,241.17,495102
2020-03-20 08:00:00,239.11,244872
2020-03-20 09:00:00,244.05,271045
2020-03-20 10:00:00,238.82,277311
2020-03-20 11:00:00,237.47,242315
2020-03-20 12:00:00,237.83,136050
2020-03-20 13:00:00,232.31,227300
2020-03-20 14:00:00,228.87,562761
2020-03-23 08:00:00,227.41,321061
2020-03-23 09:00:00,223.54,236878
2020-03-23 10:00:00,220.48,274803
2020-03-23 11:00:00,227.38,304482
2020-03-23 12:00:00,222.95,233074
2020-03-23 13:00:00,222.17,213356
2020-03-23 14:00:00,222.48,410423
2020-03-24 08:00:00,235.51,233140
2020-03-24 09:00:00,237.46,245352
2020-03-24 10:00:00,240.43,193829
2020-03-24 11:00:00,239.65,218970
2020-03-24 12:00:00,237.25,224133
2020-03-24 13:00:00,240.58,221107
2020-03-24 14:00:00,243.54,391719
2020-03-25 08:00:00,242.53,318976
2020-03-25 09:00:00,245.39,271101
2020-03-25 10:00:00,245.84,154360
2020-03-25 11:00:00,250.81,229662
2020-03-25 12:00:00,254.03,256975
2020-03-25 13:00:00,254.42,261062
2020-03-25 14:00:00,246.75,457129
2020-03-26 08:00:00,253.71,196444
2020-03-26 09:00:00,255.56,265976
2020-03-26 10:00:00,258.4,204187
2020-03-26 11:00:00,258.72,154051
2020-03-26 12:00:00,256.75,205094
2020-03-26 13:00:00,258.56,172273
2020-03-26 14:00:00,261.39,425896
2020-03-27 08:00:00,253.17,174494
2020-03-27 09:00:00,253.17,155211
2020-03-27 10:00:00,252.68,182542
2020-03-27 11:00:00,255.15,130938
2020-03-27 12:00:00,255.67,166830
2020-03-27 13:00:00,257.6,131893
2020-03-27 14:00:00,253.38,464115
2020-03-30 08:00:00,255.31,118096
2020-03-30 09:00:00,257.08,135812
2020-03-30 10:00:00,259.16,132549
2020-03-30 11:00:00,260.32,112349
2020-03-30 12:00:00,259.09,104110
2020-03-30 13:00:00,260.32,137483
2020-03-30 14:00:00,261.68,274939
2020-03-31 08:00:00,259.19,130463
2020-03-31 09:00:00,261.79,185607
2020-03-31 10:00:00,262.51,117235
2020-03-31 11:00:00,259.38,159510
2020-03-31 12:00:00,260.1,125154
2020-03-31 13:00:00,259.81,114213
2020-03-31 14:00:00,257.66,331483
2020-04-01 08:00:00,248.89,143333
2020-04-01 09:00:00,250.23,179694
2020-04-01 10:00:00,248.75,138246
2020-04-01 11:00:00,246.24,166503
2020-04-01 12:00:00,247.9,120919
2020-04-01 13:00:00,245.79,124145
2020-04-01 14:00:00,246.13,307737
2020-04-02 08:00:00,246.5,148242
2020-04-02 09:00:00,250.86,264432
2020-04-02 10:00:00,250.79,164667
2020-04-02 11:00:00,250.98,108858
2020-04-02 12:00:00,248.25,156439
2020-04-02 13:00:00,249.31,143519
2020-04-02 14:00:00,251.9,273876
2020-04-03 08:00:00,251.8,118903
2020-04-03 09:00:00,249.64,150374
2020-04-03 10:00:00,248.22,138189
2020-04-03 11:00:00,247.58,116542
2020-04-03 12:00:00,246.09,89272
2020-04-03 13:00:00,247.71,120858
2020-04-03 14:00:00,248.22,278670
2020-04-06 08:00:00,259.8,132113
2020-04-06 09:00:00,259.33,174378
2020-04-06 10:00:00,260.85,123447
2020-04-06 11:00:00,262.38,159098
2020-04-06 12:00:00,262.81,110375
2020-04-06 13:00:00,262.43,116668
2020-04-06 14:00:00,264.98,449192
2020-04-07 08:00:00,273.75,216462
2020-04-07 09:00:00,269.03,234448
2020-04-07 10:00:00,271.49,176372
2020-04-07 11:00:00,272.65,138300
2020-04-07 12:00:00,270.78,114443
2020-04-07 13:00:00,266.71,201649
2020-04-07 14:00:00,265.11,405351
2020-04-08 08:00:00,266.48,100743
2020-04-08 09:00:00,268.92,133679
2020-04-08 10:00:00,270.79,149734
2020-04-08 11:00:00,271.5,135703
2020-04-08 12:00:00,270.31,120778
2020-04-08 13:00:00,273.75,145311
2020-04-08 14:00:00,274.11,322985
2020-04-09 08:00:00,280.51,183477
2020-04-09 09:00:00,279.36,248549
2020-04-09 10:00:00,279.43,148525
2020-04-09 11:00:00,280.59,133493
2020-04-09 12:00:00,279.89,134827
2020-04-09 13:00:00,276.59,195335
2020-04-09 14:00:00,278.23,272080
2020-04-13 08:00:00,274.15,111725
2020-04-13 09:00:00,272.73,157041
2020-04-13 10:00:00,273.62,115358
2020-04-13 11:00:00,273.27,93419
2020-04-13 12:00:00,274.1,84716
2020-04-13 13:00:00,274.25,91398
2020-04-13 14:00:00,275.56,203227
2020-04-14 08:00:00,282.84,128935
2020-04-14 09:00:00,281.57,173874
2020-04-14 10:00:00,281.16,138303
2020-04-14 11:00:00,282.91,98042
2020-04-14 12:00:00,283.73,86022
