date,open,high,low,close,average
2014-04-04,0.30479055,0.34995353,0.29785339,0.34573091,0.34995353
2014-04-07,0.35015989,0.37389228,0.34441332,0.35427139,0.37389228
2014-04-08,0.34617539,0.3522712,0.33506324,0.33644432,0.3522712
2014-04-09,0.33271381,0.3435561,0.33139623,0.33842863,0.3435561
2014-04-10,0.3935608,0.40500632,0.38587754,0.3871475,0.40500632
2014-04-11,0.38994141,0.41161011,0.37870226,0.39802154,0.41161011
2014-04-14,0.36493906,0.38344874,0.35390628,0.35936711,0.38344874
2014-04-15,0.34647701,0.3926242,0.31749016,0.34615952,0.3926242
2014-04-16,0.34642939,0.34774697,0.28123278,0.31849025,0.34774697
2014-04-17,0.26904116,0.34773109,0.22208437,0.2467216,0.34773109
2014-04-21,0.23867323,0.25511922,0.22286222,0.2387526,0.25511922
2014-04-22,0.23533958,0.24929327,0.2200683,0.22557676,0.24929327
2014-04-23,0.21846498,0.25270629,0.20995624,0.22522752,0.25270629
2014-04-24,0.2249894,0.25448424,0.21994131,0.23205356,0.25448424
2014-04-25,0.22368769,0.24062579,0.21927458,0.23175194,0.24062579
2014-04-28,0.23716515,0.26211987,0.23260916,0.23764138,0.26211987
2014-04-29,0.23403787,0.24578501,0.20298733,0.21486146,0.24578501
2014-04-30,0.2135915,0.22098902,0.20916252,0.21173419,0.22098902
2014-05-01,0.21051185,0.21559169,0.20209836,0.20209836,0.21559169
2014-05-02,0.20130463,0.20409855,0.19543107,0.19544694,0.20409855
2014-05-05,0.20338419,0.20955938,0.1943516,0.19463734,0.20955938
2014-05-06,0.19716139,0.20166975,0.19431985,0.20022517,0.20166975
2014-05-07,0.20146338,0.21638542,0.19898696,0.21182943,0.21638542
2014-05-08,0.21217867,0.21579806,0.20036804,0.20428904,0.21579806
2014-05-09,0.20171737,0.21119445,0.19552631,0.19558981,0.21119445
2014-05-12,0.19732013,0.19911395,0.18244572,0.18331882,0.19911395
2014-05-13,0.18363631,0.18414429,0.17325438,0.17552443,0.18414429
2014-05-14,0.17587367,0.18079477,0.17139706,0.18000104,0.18079477
2014-05-15,0.18358868,0.19262128,0.18033441,0.18703345,0.19262128
2014-05-16,0.18522376,0.19476434,0.17895333,0.18408079,0.19476434
2014-05-19,0.1903036,0.19120845,0.17814373,0.17922319,0.19120845
2014-05-20,0.18020741,0.18328707,0.17555618,0.18011217,0.18328707
2014-05-21,0.17771512,0.18046141,0.1708732,0.17101607,0.18046141
2014-05-22,0.17001598,0.17393698,0.16793642,0.16861902,0.17393698
2014-05-23,0.16942862,0.17341312,0.16406304,0.16592036,0.17341312
2014-05-27,0.18023916,0.18023916,0.16874602,0.17507995,0.18023916
2014-05-28,0.17593717,0.18379505,0.17593717,0.17946131,0.18379505
2014-05-29,0.18177899,0.18393792,0.17376236,0.17857234,0.18393792
2014-05-30,0.17752462,0.18117576,0.17622291,0.17684202,0.18117576
2014-06-02,0.18115988,0.20430492,0.18115988,0.19512945,0.20430492
2014-06-03,0.19682802,0.20128876,0.19244666,0.19344675,0.20128876
2014-06-04,0.19568506,0.19935207,0.19281177,0.19762175,0.19935207
2014-06-05,0.19612954,0.20003467,0.18363631,0.18652547,0.20003467
2014-06-06,0.18428716,0.19133544,0.18160437,0.1822076,0.19133544
2014-06-09,0.18906539,0.19478021,0.17957243,0.18171549,0.19478021
2014-06-10,0.18022329,0.18871615,0.17388936,0.17920732,0.18871615
2014-06-11,0.18225522,0.18965275,0.17693726,0.17720713,0.18965275
2014-06-12,0.18912889,0.19573268,0.18460465,0.189494,0.19573268
2014-06-13,0.2023841,0.21402012,0.19458972,0.21028961,0.21402012
2014-06-16,0.24722959,0.25694478,0.24707084,0.25462711,0.25694478
2014-06-17,0.26169126,0.26494554,0.25684954,0.26151664,0.26494554
2014-06-18,0.26881892,0.2724383,0.26537415,0.26537415,0.2724383
2014-06-19,0.26927928,0.27172395,0.26462805,0.26600913,0.27172395
2014-06-20,0.26685048,0.26835856,0.25875448,0.26194525,0.26835856
2014-06-23,0.26769183,0.27164458,0.26319934,0.26488204,0.27164458
2014-06-24,0.26573926,0.27040637,0.26013556,0.26894591,0.27040637
2014-06-25,0.26202463,0.26680285,0.25553195,0.25629393,0.26680285
2014-06-26,0.25176969,0.27178745,0.2515792,0.27178745,0.27178745
2014-06-27,0.25846874,0.26189763,0.24962664,0.25230943,0.26189763
2014-06-30,0.2563098,0.25981807,0.25126171,0.25384926,0.25981807
2014-07-01,0.25597644,0.26240562,0.24432455,0.2444833,0.26240562
2014-07-02,0.24654698,0.2484678,0.2410544,0.24700734,0.2484678
2014-07-03,0.24946789,0.25162682,0.24357845,0.24410231,0.25162682
2014-07-07,0.25107122,0.25183319,0.24305459,0.24581675,0.25183319
2014-07-08,0.24253073,0.26564401,0.24005431,0.25986569,0.26564401
2014-07-09,0.2612309,0.26391369,0.25253167,0.25356351,0.26391369
2014-07-10,0.25953233,0.26646949,0.25364289,0.25429374,0.26646949
2014-07-11,0.25094422,0.25273804,0.24559451,0.24657873,0.25273804
2014-07-14,0.24911865,0.25189669,0.24210212,0.24632474,0.25189669
2014-07-15,0.24703909,0.25324602,0.2452294,0.25183319,0.25324602
2014-07-16,0.2492139,0.25580182,0.24710259,0.25508747,0.25580182
2014-07-17,0.25356351,0.26269136,0.25356351,0.25953233,0.26269136
2014-07-18,0.18325532,0.18500151,0.17038109,0.17182567,0.18500151
2014-07-21,0.18069952,0.18609686,0.17490533,0.17517519,0.18609686
2014-07-22,0.17473071,0.18282671,0.169381,0.17936606,0.18282671
2014-07-23,0.1799058,0.18128688,0.17512757,0.17563556,0.18128688
2014-07-24,0.17401636,0.17855646,0.1718098,0.17212729,0.17855646
2014-07-25,0.17461959,0.17590542,0.16874602,0.169254,0.17590542
2014-07-28,0.18409667,0.18409667,0.16917463,0.1691905,0.18409667
2014-07-29,0.17034934,0.17812785,0.16952387,0.17414335,0.17812785
2014-07-30,0.17274639,0.17620704,0.16804754,0.16998423,0.17620704
2014-07-31,0.17387348,0.20467003,0.16942862,0.2017015,0.20467003
2014-08-01,0.20087602,0.21679815,0.19739951,0.21201993,0.21679815
2014-08-04,0.21438523,0.21590918,0.19214504,0.19404998,0.21590918
2014-08-05,0.19884409,0.21305177,0.19666928,0.20930539,0.21305177
2014-08-06,0.21000386,0.21279778,0.2047494,0.20787668,0.21279778
2014-08-07,0.20105064,0.21860785,0.20105064,0.21651241,0.21860785
2014-08-08,0.21649654,0.21941745,0.20222536,0.20317783,0.21941745
2014-08-11,0.21081346,0.21248029,0.20208249,0.2032572,0.21248029
2014-08-12,0.20560663,0.20765444,0.19624067,0.19730426,0.20765444
2014-08-13,0.1968439,0.1969074,0.18266796,0.18274733,0.1969074
2014-08-14,0.18219173,0.18589049,0.17817548,0.17833422,0.18589049
2014-08-15,0.1766674,0.17936606,0.16955562,0.17479421,0.17936606
2014-08-18,0.17968355,0.18111226,0.1662061,0.1677618,0.18111226
2014-08-19,0.16879364,0.16952387,0.15987217,0.16093576,0.16952387
2014-08-20,0.16044365,0.16457102,0.15944356,0.16174536,0.16457102
2014-08-21,0.16211047,0.16538062,0.15909432,0.1596023,0.16538062
2014-08-22,0.15982455,0.16472977,0.15634803,0.15688776,0.16472977
2014-08-25,0.16191998,0.16442815,0.15779261,0.15887207,0.16442815
2014-08-26,0.16345981,0.16345981,0.15618928,0.15684014,0.16345981
2014-08-27,0.15698301,0.16257084,0.15661789,0.16233272,0.16257084
2014-08-28,0.16630134,0.16971436,0.15857046,0.16436465,0.16971436
2014-08-29,0.15857046,0.16879364,0.15857046,0.16477739,0.16879364
2014-09-02,0.173302,0.17425447,0.16517425,0.16669821,0.17425447
2014-09-03,0.16388842,0.16825391,0.16153899,0.16663471,0.16825391
2014-09-04,0.16544412,0.16719032,0.15582417,0.15841171,0.16719032
2014-09-05,0.15603054,0.16084051,0.15534793,0.15752274,0.16084051
2014-09-08,0.16392017,0.16571399,0.16052302,0.16158662,0.16571399
2014-09-09,0.16396779,0.17036522,0.16315819,0.16879364,0.17036522
2014-09-10,0.169254,0.17509582,0.16347568,0.16587273,0.17509582
2014-09-11,0.17361949,0.17419097,0.16882539,0.17049221,0.17419097
2014-09-12,0.18003279,0.18493802,0.17958831,0.18349344,0.18493802
2014-09-15,0.21740139,0.22762457,0.2169569,0.22630698,0.22762457
2014-09-16,0.23514909,0.23584756,0.2267356,0.22857704,0.23584756
2014-09-17,0.23935583,0.23975269,0.23110109,0.23225992,0.23975269
2014-09-18,0.23570469,0.23570469,0.2248624,0.22594187,0.23570469
2014-09-19,0.22644985,0.22691022,0.21830623,0.21830623,0.22691022
2014-09-22,0.22879928,0.23230755,0.22452904,0.22622761,0.23230755
2014-09-23,0.23049785,0.23156145,0.22627524,0.23025974,0.23156145
2014-09-24,0.23276791,0.23614918,0.22821193,0.23565707,0.23614918
2014-09-25,0.2241163,0.25376988,0.2241163,0.2506426,0.25376988
2014-09-26,0.25132521,0.25537321,0.2467216,0.2506426,0.25537321
2014-09-29,0.26086579,0.26251674,0.25159508,0.25234118,0.26251674
2014-09-30,0.24676922,0.25626218,0.24159414,0.25373813,0.25626218
2014-10-01,0.2548811,0.26588213,0.25042036,0.26243736,0.26588213
2014-10-02,0.26202463,0.26840618,0.25827824,0.25983394,0.26840618
2014-10-03,0.25694478,0.25924659,0.24865829,0.250087,0.25924659
2014-10-06,0.2533254,0.2573099,0.2506426,0.25423024,0.2573099
2014-10-07,0.25848461,0.282344,0.25689716,0.28209,0.282344
2014-10-08,0.286392,0.29194807,0.26175476,0.26175476,0.29194807
2014-10-09,0.26256436,0.29601195,0.26084991,0.29044,0.29601195
2014-10-10,0.2951071,0.33501561,0.28721747,0.33003102,0.33501561
2014-10-13,0.33357103,0.35736692,0.3248718,0.35481113,0.35736692
2014-10-14,0.35117586,0.35943061,0.31817276,0.33422189,0.35943061
2014-10-15,0.37143174,0.39163998,0.36470094,0.36854257,0.39163998
2014-10-16,0.40591117,0.43766018,0.37838477,0.38138505,0.43766018
2014-10-17,0.26373907,0.28780483,0.25948471,0.26073879,0.28780483
2014-10-20,0.26421531,0.26977139,0.23057723,0.23057723,0.26977139
2014-10-21,0.22767219,0.23265679,0.21824273,0.21875072,0.23265679
2014-10-22,0.21536945,0.21887771,0.20201899,0.21887771,0.21887771
2014-10-23,0.21265491,0.21403599,0.19460559,0.20006642,0.21403599
2014-10-24,0.2006379,0.21008324,0.1967804,0.19735188,0.21008324
2014-10-27,0.20519389,0.20570187,0.1958438,0.19919332,0.20570187
2014-10-28,0.19730426,0.1992092,0.18028679,0.18249334,0.1992092
2014-10-29,0.17952481,0.19290702,0.1741751,0.1855095,0.19290702
